KeyRoiName	KeyRoiName	Value	PF
D5#1	D4#2	-0.06	True
D5#1	E5#3	0.07	True
D5#2	D6#1	0.02	True
D5#2	E6#4	0.06	True
D5#3	C14#2	-0.11	True
D5#3	D6#4	0.03	True
D5#4	C13#2	-0.14	True
D5#4	C14#1	-0.11	True
D5#4	D4#3	-0.02	True
D6#1	D5#2	-0.02	True
D6#1	E6#3	0.06	True
D6#2	D7#1	0.07	True
D6#2	E7#4	0.13	True
D6#3	D7#4	0.07	True
D6#4	C14#2	-0.14	True
D6#4	D5#3	-0.03	True
D7#1	D6#2	-0.07	True
D7#1	E7#3	0.06	True
D7#2	D8#1	0.02	True
D7#2	E8#4	0.10	True
D7#3	C16#2	-0.09	True
D7#3	D8#4	-0.01	True
D7#4	C15#2	-0.20	True
D7#4	C16#1	-0.10	True
D7#4	D6#3	-0.07	True
D8#1	D7#2	-0.02	True
D8#1	E8#3	0.09	True
D8#2	D9#1	0.01	True
D8#2	E9#4	0.10	True
D8#3	D9#4	0.03	True
D8#4	C16#2	-0.07	True
D8#4	D7#3	0.01	True
D9#1	D8#2	-0.01	True
D9#1	E9#3	0.10	True
D9#2	D10#1	0.08	True
D9#2	E10#4	0.11	True
D9#3	C18#2	-0.09	True
D9#3	D10#4	0.08	True
D9#4	C17#2	-0.13	True
D9#4	C18#1	-0.09	True
D9#4	D8#3	-0.03	True
D10#1	D9#2	-0.08	True
D10#1	E10#3	0.07	True
D10#2	D11#1	0.11	True
D10#2	E11#4	0.14	True
D10#3	D11#4	0.05	True
D10#4	C18#2	-0.17	True
D10#4	D9#3	-0.08	True
D11#1	D10#2	-0.11	True
D11#1	E11#3	0.01	True
D11#2	D12#1	0.02	True
D11#2	E12#4	0.06	True
D11#3	D12#4	0.05	True
D11#4	C19#2	-0.15	True
D11#4	D10#3	-0.05	True
D12#1	D11#2	-0.02	True
D12#1	E12#3	0.02	True
D12#2	D13#1	0.10	True
D12#2	E13#4	0.16	True
D12#3	D13#4	-0.05	True
D12#4	C20#2	-0.20	True
D12#4	D11#3	-0.05	True
D13#1	D12#2	-0.10	True
D13#2	E13#3	0.11	True
D13#3	C21#2	0.15	True
D13#4	D12#3	0.05	True
E0#1	F0#4	0.03	True
E0#2	E1#1	-0.13	True
E0#2	F0#3	0.02	True
E0#3	E1#4	-0.08	True
E0#4	D0#1	-0.06	True
E1#1	E0#2	0.13	True
E1#1	F1#4	0.14	True
E1#2	E2#1	0.04	True
E1#2	F1#3	0.16	True
E1#3	D1#1	-0.10	True
E1#3	E2#4	0.04	True
E1#4	D0#2	-0.02	True
E1#4	E0#3	0.08	True
E2#1	E1#2	-0.04	True
E2#1	F2#4	0.27	True
E2#2	E3#1	0.10	True
E2#2	F2#3	0.31	True
E2#2	F3#4	0.14	True
E2#3	D2#1	-0.04	True
E2#3	E3#4	0.07	True
E2#4	D1#2	-0.11	True
E2#4	E1#3	-0.04	True
E3#1	E2#2	-0.10	True
E3#1	F3#3	0.06	True
E3#1	F3#4	0.04	True
E3#2	E4#1	0.05	True
E3#2	F4#4	0.15	True
E3#3	D3#1	-0.07	True
E3#3	E4#4	0.07	True
E3#4	D2#2	-0.12	True
E3#4	E2#3	-0.07	True
E4#1	E3#2	-0.05	True
E4#1	F4#3	0.16	True
E4#2	E5#1	0.03	True
E4#2	F5#4	0.15	True
E4#3	D4#1	-0.09	True
E4#3	E5#4	0.01	True
E4#4	D3#2	-0.12	True
E4#4	E3#3	-0.07	True
E5#1	E4#2	-0.03	True
E5#1	F5#3	0.20	True
E5#2	E6#1	0.02	True
E5#2	F6#3	0.27	True
E5#3	D5#1	-0.07	True
E5#3	E6#4	0.01	True
E5#4	D4#2	-0.09	True
E5#4	E4#3	-0.01	True
E6#1	E5#2	-0.02	True
E6#1	F6#3	0.25	True
E6#1	F7#4	0.13	True
E6#2	E7#1	0.09	True
E6#2	F7#3	0.21	True
E6#3	D6#1	-0.06	True
E6#3	E7#4	0.07	True
E6#4	D5#2	-0.06	True
E6#4	E5#3	-0.01	True
E7#1	E6#2	-0.09	True
E7#1	F8#4	0.11	True
E7#2	E8#1	0.03	True
E7#2	F8#3	0.16	True
E7#3	D7#1	-0.06	True
E7#3	E8#4	0.02	True
E7#4	D6#2	-0.13	True
E7#4	E6#3	-0.07	True
E8#1	E7#2	-0.03	True
E8#1	F9#4	0.26	True
E8#2	E9#1	0.01	True
E8#2	F10#4	0.18	True
E8#3	D8#1	-0.09	True
E8#3	E9#4	0.04	True
E8#4	D7#2	-0.10	True
E8#4	E7#3	-0.02	True
E9#1	E8#2	-0.01	True
E9#1	F10#3	0.18	True
E9#2	E10#1	0.06	True
E9#2	F11#4	0.15	True
E9#3	D9#1	-0.10	True
E9#3	E10#4	0.03	True
E9#4	D8#2	-0.10	True
E9#4	E8#3	-0.04	True
E10#1	E9#2	-0.06	True
E10#1	F11#3	0.17	True
E10#2	E11#1	0.08	True
E10#2	F12#4	0.20	True
E10#3	D10#1	-0.07	True
E10#3	E11#4	0.07	True
E10#4	D9#2	-0.11	True
E10#4	E9#3	-0.03	True
E11#1	E10#2	-0.08	True
E11#1	F12#3	0.17	True
E11#1	F13#4	0.12	True
E11#2	E12#1	0.03	True
E11#2	F13#3	0.18	True
E11#3	D11#1	-0.01	True
E11#3	E12#4	0.05	True
E11#4	D10#2	-0.14	True
E11#4	E10#3	-0.07	True
E12#1	E11#2	-0.03	True
E12#1	F14#4	0.17	True
E12#2	E13#1	0.21	True
E12#2	F14#3	0.22	True
E12#3	D12#1	-0.02	True
E12#3	E13#4	0.06	True
E12#4	D11#2	-0.06	True
E12#4	E11#3	-0.05	True
E13#1	E12#2	-0.21	True
E13#1	F15#4	-0.03	True
E13#2	F16#3	-0.05	True
E13#3	D13#2	-0.11	True
E13#4	D12#2	-0.16	True
E13#4	E12#3	-0.06	True
F0#2	F1#1	0.03	True
F0#2	F1#4	0.01	True
F0#3	E0#2	-0.02	True
F0#3	F1#1	0.01	True
F0#3	F1#4	-0.01	True
F0#4	E0#1	-0.03	True
F1#1	F0#2	-0.03	True
F1#1	F0#3	-0.01	True
F1#2	F2#1	0.23	True
