KeyRoiName	KeyRoiName	Value	PF
E13#4	E12#3	0.03	False
F0#2	F1#1	0.03	False
F0#2	F1#4	0.01	False
F0#3	E0#2	-0.02	False
F0#3	F1#1	0.01	False
F0#3	F1#4	-0.01	False
F0#4	E0#1	-0.03	False
F1#1	F0#2	-0.03	False
F1#1	F0#3	-0.01	False
F1#2	F2#1	0.08	False
F1#2	F2#4	0.06	False
F1#3	E1#2	-0.10	False
F1#3	F2#1	0.08	False
F1#3	F2#4	0.06	False
F1#4	E1#1	-0.08	False
F1#4	F0#2	-0.01	False
F1#4	F0#3	0.01	False
F2#1	F1#2	-0.08	False
F2#1	F1#3	-0.08	False
F2#2	F3#1	-0.02	False
F2#2	F3#4	-0.03	False
F2#3	E2#2	-0.16	False
F2#3	F3#1	-0.01	False
F2#3	F3#4	-0.02	False
F2#4	E2#1	-0.18	False
F2#4	F1#2	-0.06	False
F2#4	F1#3	-0.06	False
F3#1	F2#2	0.02	False
F3#1	F2#3	0.01	False
F3#2	F4#1	-0.01	False
F3#2	F4#4	-0.03	False
F3#3	E3#1	-0.06	False
F3#3	F4#1	0.00	False
F3#3	F4#4	-0.01	False
F3#4	E2#2	-0.14	False
F3#4	E3#1	-0.04	False
F3#4	F2#2	0.03	False
F3#4	F2#3	0.02	False
F4#1	F3#2	0.01	False
F4#1	F3#3	0.00	False
F4#2	F5#1	0.00	False
F4#2	F5#4	-0.01	False
F4#3	E4#1	-0.01	False
F4#3	F5#1	0.03	False
F4#3	F5#4	0.01	False
F4#4	E3#2	-0.06	False
F4#4	F3#2	0.03	False
F4#4	F3#3	0.01	False
F5#1	F4#2	0.00	False
F5#1	F4#3	-0.03	False
F5#2	F6#1	0.01	False
F5#2	F6#4	0.00	False
F5#3	E5#1	-0.02	False
F5#3	F6#1	0.02	False
F5#3	F6#4	0.01	False
F5#4	E4#2	-0.06	False
F5#4	F4#2	0.01	False
F5#4	F4#3	-0.01	False
F6#1	F5#2	-0.01	False
F6#1	F5#3	-0.02	False
F6#2	F7#1	0.01	False
F6#2	F7#4	0.00	False
F6#3	E5#2	0.00	False
F6#3	E6#1	-0.01	False
F6#3	F7#1	0.00	False
F6#3	F7#4	0.00	False
F6#4	F5#2	0.00	False
F6#4	F5#3	-0.01	False
F7#1	F6#2	-0.01	False
F7#1	F6#3	0.00	False
F7#2	F8#1	0.01	False
F7#2	F8#4	0.02	False
F7#3	E6#2	0.01	False
F7#3	F8#1	0.01	False
F7#3	F8#4	0.02	False
F7#4	E6#1	-0.01	False
F7#4	F6#2	0.00	False
F7#4	F6#3	0.00	False
F8#1	F7#2	-0.01	False
F8#1	F7#3	-0.01	False
F8#2	F9#1	0.00	False
F8#2	F9#4	-0.02	False
F8#3	E7#2	0.02	False
F8#3	F9#1	0.02	False
F8#3	F9#4	0.00	False
F8#4	E7#1	-0.02	False
F8#4	F7#2	-0.02	False
F8#4	F7#3	-0.02	False
F9#1	F8#2	0.00	False
F9#1	F8#3	-0.02	False
F9#2	F10#1	0.00	False
F9#2	F10#4	0.00	False
F9#3	F10#1	0.02	False
F9#3	F10#4	0.01	False
F9#4	E8#1	0.01	False
F9#4	F8#2	0.02	False
F9#4	F8#3	0.00	False
F10#1	F9#2	0.00	False
F10#1	F9#3	-0.02	False
F10#2	F11#1	-0.01	False
F10#2	F11#4	-0.01	False
F10#3	E9#1	0.00	False
